decision_point,trump,our_score,their_score,bidding_meld,defending_meld,hand,meld_total,ace_count,trump_length,longest_side_suit,has_run,has_pinochle,has_around,bid,score_diff,partner_has_bid,partner_has_passed,p_make,ev_take,ev_defend,ev_play_on,ev_fold,verdict_bid,verdict_fold
bid,H,0,0,,,10C_2 10D_1 10H_1 10H_2 9S_2 AH_2 JH_2 KC_1 KD_1 KH_1 QC_1 QS_2,20,1,5,3,0,0,0,300,0,0,0,0.7133,70.1333,-14.8,,,1,
bid,D,0,0,,,10D_2 10S_1 10S_2 9C_2 9D_2 9H_2 9S_1 JS_2 KC_2 KD_2 KS_1 QD_2,50,0,4,5,0,0,0,310,0,0,0,0.2667,-328.7333,-177.0667,,,0,
bid,S,0,0,,,10C_1 AC_1 AC_2 AD_2 AH_1 AS_1 AS_2 JD_1 JS_1 KH_2 QD_1 QH_2,120,6,3,3,0,0,1,310,0,1,0,0.8267,131.2667,404.0667,,,0,
bid,D,0,0,,,9C_1 9D_1 9H_1 AD_1 JC_1 JC_2 JD_2 JH_1 KS_2 QC_2 QH_1 QS_1,70,1,3,4,0,1,0,310,0,0,1,0.1933,-372.7333,-37.4667,,,0,
fold,H,0,0,120,100,10H_1 10H_2 9S_2 AH_1 AH_2 AS_1 JD_1 JH_2 KC_1 KH_1 QC_1 QS_2,60,3,6,3,0,1,0,300,0,0,0,0.5067,,,-142.6667,-400.0,,0
bid,D,120,350,,,9C_1 9C_2 9D_2 AD_2 AS_1 JD_1 JD_2 KD_2 KH_1 QC_1 QC_2 QS_1,50,2,5,4,0,1,0,300,-230,0,0,0.7333,137.4667,55.7333,,,1,
bid,S,350,120,,,10C_1 10C_2 10D_1 9H_1 9S_1 AC_1 AH_2 AS_2 JS_1 KC_1 KC_2 QD_1,10,3,3,5,0,0,0,310,230,0,0,0.1733,-339.6,-107.9333,,,0,
bid,H,120,350,,,10H_2 10S_1 9D_1 AH_1 JC_2 JH_2 KD_1 KH_2 KS_1 KS_2 QH_2 QS_2,170,1,5,4,1,0,0,310,-230,1,0,0.9467,225.0667,54.6,,,1,
bid,C,350,120,,,10D_2 10H_1 10S_2 9H_2 9S_2 AC_2 AD_1 JC_1 JH_1 JS_2 QD_2 QH_1,0,2,2,4,0,0,0,310,230,0,1,0.0467,-446.6,-201.6,,,0,
fold,D,120,350,340,0,10S_1 9C_1 9D_2 AD_2 JD_1 JD_2 KD_1 KD_2 QC_1 QC_2 QS_1 QS_2,310,1,6,3,0,1,0,300,-230,0,0,1.0,,,429.8667,-300.0,,0
